accession,symbol,description,log2FC,pval,padj
P62314,SNRPD1,Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1,-0.01959502064346777,0.5297493781441213,0.5991093928997823
Q96GE9,DMAC1,Distal membrane-arm assembly complex protein 1 OS=Homo sapiens OX=9606 GN=DMAC1 PE=1 SV=1,-0.040022500500352054,0.5297931972602884,0.5991093928997823
P46976,GYG1,Glycogenin-1 OS=Homo sapiens OX=9606 GN=GYG1 PE=1 SV=4,-0.0545858095299816,0.531328399552035,0.6007427116686141
Q12767,TMEM94,Transmembrane protein 94 OS=Homo sapiens OX=9606 GN=TMEM94 PE=1 SV=1,-0.05097297269043555,0.5316990422915199,0.6009965587813557
Q6NZ67,MZT2B,Mitotic-spindle organizing protein 2B OS=Homo sapiens OX=9606 GN=MZT2B PE=1 SV=1,-0.055928272597716155,0.5317347049109091,0.6009965587813557
Q9Y4K3,TRAF6,TNF receptor-associated factor 6 OS=Homo sapiens OX=9606 GN=TRAF6 PE=1 SV=1,-0.06820050480026474,0.5319542859850251,0.6011419823847183
P35527,KRT9,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",-0.18267835548162115,0.5322460715001441,0.6013378008537671
Q76M96,CCDC80,Coiled-coil domain-containing protein 80 OS=Homo sapiens OX=9606 GN=CCDC80 PE=1 SV=1,-0.4080665076391412,0.5323094598301722,0.6013378008537671
Q9BWH6,RPAP1,RNA polymerase II-associated protein 1 OS=Homo sapiens OX=9606 GN=RPAP1 PE=1 SV=3,-0.016310237915551973,0.5326441470159751,0.6016131021642683
Q9BRR8,GPATCH1,G patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GPATCH1 PE=1 SV=1,0.0227962713280756,0.5336689852233032,0.6026676909131479
Q92995,USP13,Ubiquitin carboxyl-terminal hydrolase 13 OS=Homo sapiens OX=9606 GN=USP13 PE=1 SV=2,0.010327287502688742,0.5343436783185463,0.6033265712162276
Q9P0M6,MACROH2A2,Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=3,0.15354548555826364,0.5351380155151813,0.6041202934243433
