accession,symbol,description,log2FC,pval,padj
Q99661,KIF2C,Kinesin-like protein KIF2C OS=Homo sapiens OX=9606 GN=KIF2C PE=1 SV=2,-0.5327873482884409,1.0074464483599223e-06,4.500835078753923e-05
Q13423,NNT,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3",0.15194948707664135,1.0196989100174883e-06,4.5075971165121044e-05
Q01850,CDR2,Cerebellar degeneration-related protein 2 OS=Homo sapiens OX=9606 GN=CDR2 PE=1 SV=2,-0.3520623290123961,1.027698471193654e-06,4.5075971165121044e-05
Q9P031,CCDC59,Thyroid transcription factor 1-associated protein 26 OS=Homo sapiens OX=9606 GN=CCDC59 PE=1 SV=2,-0.34276722902581663,1.0294119246723046e-06,4.5075971165121044e-05
Q8NC51,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,-0.2574282071639109,1.0421974393036925e-06,4.5335588609710627e-05
Q9NQZ2,UTP3,Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1,-0.17261022428689304,1.0763782436627687e-06,4.651642449083808e-05
Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2 OS=Homo sapiens OX=9606 GN=GIGYF2 PE=1 SV=1,-0.34648994215579165,1.090084421913396e-06,4.680284543955438e-05
Q5SRD1,TIMM23B,Putative mitochondrial import inner membrane translocase subunit Tim23B OS=Homo sapiens OX=9606 GN=TIMM23B PE=5 SV=2,-0.4109238232052309,1.1238517599033487e-06,4.794134088052221e-05
P07919,UQCRH,"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2",0.2396855192886138,1.1507936773787257e-06,4.8775947402744444e-05
Q96SZ6,CDK5RAP1,Mitochondrial tRNA methylthiotransferase CDK5RAP1 OS=Homo sapiens OX=9606 GN=CDK5RAP1 PE=1 SV=2,-0.44351994983149834,1.1961095590908868e-06,5.03737350618404e-05
O95136,S1PR2,Sphingosine 1-phosphate receptor 2 OS=Homo sapiens OX=9606 GN=S1PR2 PE=1 SV=2,0.8693434382749694,1.2447356914227265e-06,5.154973741238913e-05
Q8WV60,PTCD2,"Pentatricopeptide repeat-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=PTCD2 PE=1 SV=3",-0.24361689917803409,1.2466418992132578e-06,5.154973741238913e-05
O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens OX=9606 GN=SMARCA5 PE=1 SV=1,-0.16224918268309718,1.2546803905790637e-06,5.154973741238913e-05
Q9UN37,VPS4A,Vacuolar protein sorting-associated protein 4A OS=Homo sapiens OX=9606 GN=VPS4A PE=1 SV=1,-0.10160492423492462,1.2616672632788533e-06,5.154973741238913e-05
Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2,0.12377731117691115,1.2687706253868053e-06,5.154973741238913e-05
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,-0.22247527674711964,1.2708117359678506e-06,5.154973741238913e-05
Q9HAW4,CLSPN,Claspin OS=Homo sapiens OX=9606 GN=CLSPN PE=1 SV=3,-0.870029393738446,1.303465972808163e-06,5.2551933001265695e-05
P50990,CCT8,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,-0.1811872602800948,1.3153004404211395e-06,5.2707675830694395e-05
Q99873,PRMT1,Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,-0.20668816361975928,1.343724140059196e-06,5.352231333777954e-05
Q13425,SNTB2,Beta-2-syntrophin OS=Homo sapiens OX=9606 GN=SNTB2 PE=1 SV=1,-0.3098557642351798,1.3554404260193872e-06,5.366570117868376e-05
P54105,CLNS1A,Methylosome subunit pICln OS=Homo sapiens OX=9606 GN=CLNS1A PE=1 SV=1,-0.2768949975296451,1.3658200120274736e-06,5.375477333050985e-05
Q5UIP0,RIF1,Telomere-associated protein RIF1 OS=Homo sapiens OX=9606 GN=RIF1 PE=1 SV=2,-0.4121919637502458,1.3898986455035178e-06,5.43787564737826e-05
Q5JSL3,DOCK11,Dedicator of cytokinesis protein 11 OS=Homo sapiens OX=9606 GN=DOCK11 PE=1 SV=2,-0.4097514949675318,1.4114147884456937e-06,5.446930568250681e-05
Q14534,SQLE,Squalene monooxygenase OS=Homo sapiens OX=9606 GN=SQLE PE=1 SV=3,-0.23558302644551105,1.4163657310328598e-06,5.446930568250681e-05
O75794,CDC123,Cell division cycle protein 123 homolog OS=Homo sapiens OX=9606 GN=CDC123 PE=1 SV=1,-0.47522397445995573,1.4338894156074353e-06,5.446930568250681e-05
Q9UHA3,RSL24D1,Probable ribosome biogenesis protein RLP24 OS=Homo sapiens OX=9606 GN=RSL24D1 PE=1 SV=1,-0.18838532503838168,1.4369955210774064e-06,5.446930568250681e-05
O75496,GMNN,Geminin OS=Homo sapiens OX=9606 GN=GMNN PE=1 SV=1,-0.5303819671231986,1.4376954534618296e-06,5.446930568250681e-05
Q9H4H8,FAM83D,Protein FAM83D OS=Homo sapiens OX=9606 GN=FAM83D PE=1 SV=3,-0.4231885604257615,1.4416407281365233e-06,5.446930568250681e-05
O00571,DDX3X,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,-0.3409705085906234,1.5140063685185161e-06,5.6878466526388796e-05
O60934,NBN,Nibrin OS=Homo sapiens OX=9606 GN=NBN PE=1 SV=1,0.1279910249780447,1.5317302843359337e-06,5.721921265553217e-05
O14737,PDCD5,Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3,-0.3078457577510467,1.587556317405172e-06,5.892552503946022e-05
P40939,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",0.21212787464525462,1.5952312435062582e-06,5.892552503946022e-05
Q9NVU7,SDAD1,Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3,-0.4377134598699668,1.6091121013566294e-06,5.910805118983352e-05
Q9NR33,POLE4,DNA polymerase epsilon subunit 4 OS=Homo sapiens OX=9606 GN=POLE4 PE=1 SV=2,-0.22930743222180067,1.6210283334603082e-06,5.92167919383401e-05
Q9Y4K1,CRYBG1,Beta/gamma crystallin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CRYBG1 PE=1 SV=3,-0.4144827887334819,1.6386059230903598e-06,5.953001298611791e-05
Q13685,AAMP,Angio-associated migratory cell protein OS=Homo sapiens OX=9606 GN=AAMP PE=1 SV=2,-0.45078332820739586,1.6625172162728149e-06,5.977611859241273e-05
Q9HCK8,CHD8,Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=5,-0.1615512446301799,1.6634612554452422e-06,5.977611859241273e-05
Q13541,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1 OS=Homo sapiens OX=9606 GN=EIF4EBP1 PE=1 SV=3,0.16201414975701517,1.6798651277842104e-06,5.994577798210327e-05
Q9HD26,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein OS=Homo sapiens OX=9606 GN=GOPC PE=1 SV=1,-0.21337108718850478,1.6863149886072608e-06,5.994577798210327e-05
Q9BQ52,ELAC2,Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2,-0.18081662237107476,1.6979778205745898e-06,6.003759010502239e-05
Q99766,DMAC2L,"ATP synthase subunit s, mitochondrial OS=Homo sapiens OX=9606 GN=DMAC2L PE=1 SV=3",0.24172100840643473,1.7211412896917162e-06,6.053290535873206e-05
Q8IZT6,ASPM,Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens OX=9606 GN=ASPM PE=1 SV=2,-0.25513878229654763,1.7500715157756735e-06,6.122472413919976e-05
O95292,VAPB,Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens OX=9606 GN=VAPB PE=1 SV=3,0.24133344244892013,1.7682506360965458e-06,6.15351221361598e-05
Q02252,ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2",0.32632838227935057,1.7857387051385096e-06,6.181834721662735e-05
Q7LGA3,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=HS2ST1 PE=1 SV=1,0.19310965674655345,1.816616530934395e-06,6.255973178405323e-05
Q9H993,ARMT1,Damage-control phosphatase ARMT1 OS=Homo sapiens OX=9606 GN=ARMT1 PE=1 SV=1,0.19611656920444887,1.8503559634059906e-06,6.306696980698413e-05
Q9UI14,RABAC1,Prenylated Rab acceptor protein 1 OS=Homo sapiens OX=9606 GN=RABAC1 PE=1 SV=1,-0.9908769317570516,1.8635288417449417e-06,6.306696980698413e-05
P48736,PIK3CG,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform OS=Homo sapiens OX=9606 GN=PIK3CG PE=1 SV=3",0.5211687588169243,1.8726752006116087e-06,6.306696980698413e-05
P14314,PRKCSH,Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2,0.21621422150440228,1.8736343358295786e-06,6.306696980698413e-05
Q14674,ESPL1,Separin OS=Homo sapiens OX=9606 GN=ESPL1 PE=1 SV=3,-0.3988874825363483,1.883353257635579e-06,6.306696980698413e-05
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1 OS=Homo sapiens OX=9606 GN=GNPDA1 PE=1 SV=1,0.11562793043432595,1.888942041077005e-06,6.306696980698413e-05
Q5T3I0,GPATCH4,G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2,-0.48272375976785,1.9053543847396308e-06,6.306696980698413e-05
Q9NU22,MDN1,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,-0.236824033006783,1.909836405249478e-06,6.306696980698413e-05
P51965,UBE2E1,Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens OX=9606 GN=UBE2E1 PE=1 SV=1,-0.46042150529912124,1.922976300155291e-06,6.306696980698413e-05
Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1,0.1303765309656335,1.926728357684633e-06,6.306696980698413e-05
O75362,ZNF217,Zinc finger protein 217 OS=Homo sapiens OX=9606 GN=ZNF217 PE=1 SV=1,-0.2690861475736286,1.957005653822569e-06,6.345408110343551e-05
P69905,HBA1,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,0.7330004864277843,1.9577484187992806e-06,6.345408110343551e-05
Q14254,FLOT2,Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2,0.17906066826958256,2.014970776492426e-06,6.499017938618498e-05
Q8IWA5,SLC44A2,Choline transporter-like protein 2 OS=Homo sapiens OX=9606 GN=SLC44A2 PE=1 SV=3,0.5004695226187779,2.033458434165086e-06,6.503267752364524e-05
Q86VR2,RETREG3,Reticulophagy regulator 3 OS=Homo sapiens OX=9606 GN=RETREG3 PE=1 SV=1,0.2619458103858007,2.0359595050505997e-06,6.503267752364524e-05
Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1 OS=Homo sapiens OX=9606 GN=GGA1 PE=1 SV=1,0.05143682808675987,2.0645889130932808e-06,6.563010525659987e-05
Q9Y5N6,ORC6,Origin recognition complex subunit 6 OS=Homo sapiens OX=9606 GN=ORC6 PE=1 SV=1,-0.4067468244927067,2.102520661455215e-06,6.641664034636054e-05
Q969Z0,TBRG4,FAST kinase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TBRG4 PE=1 SV=1,-0.3051356048950067,2.120918733617857e-06,6.641664034636054e-05
Q8WYJ6,SEPTIN1,Septin-1 OS=Homo sapiens OX=9606 GN=SEPTIN1 PE=1 SV=2,0.3717317041435866,2.127483737072944e-06,6.641664034636054e-05
Q53EL6,PDCD4,Programmed cell death protein 4 OS=Homo sapiens OX=9606 GN=PDCD4 PE=1 SV=2,0.6508301747226812,2.1295111544810094e-06,6.641664034636054e-05
Q9H0U9,TSPYL1,Testis-specific Y-encoded-like protein 1 OS=Homo sapiens OX=9606 GN=TSPYL1 PE=1 SV=3,-1.0554682870951502,2.1412126708399915e-06,6.646806657086396e-05
Q9NRF8,CTPS2,CTP synthase 2 OS=Homo sapiens OX=9606 GN=CTPS2 PE=1 SV=1,0.4669194259498892,2.154047680871271e-06,6.655403395290115e-05
Q13610,PWP1,Periodic tryptophan protein 1 homolog OS=Homo sapiens OX=9606 GN=PWP1 PE=1 SV=1,-0.20357878394176065,2.1951709694755237e-06,6.735948081048092e-05
O75717,WDHD1,WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=WDHD1 PE=1 SV=1,-0.4132750035567039,2.2004912061500117e-06,6.735948081048092e-05
Q7Z417,NUFIP2,Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1,-0.6111649475294316,2.252909477002772e-06,6.858317969726881e-05
O60678,PRMT3,Protein arginine N-methyltransferase 3 OS=Homo sapiens OX=9606 GN=PRMT3 PE=1 SV=4,-0.2836366561775585,2.2612119137937994e-06,6.858317969726881e-05
Q8WXF1,PSPC1,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,0.12600481388502738,2.2790193106287446e-06,6.880765151542128e-05
P13639,EEF2,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,-0.33966031831476773,2.294316972387796e-06,6.895465373376412e-05
O95470,SGPL1,Sphingosine-1-phosphate lyase 1 OS=Homo sapiens OX=9606 GN=SGPL1 PE=1 SV=3,0.3171284639001597,2.3818082975806116e-06,7.12602554914163e-05
P20248,CCNA2,Cyclin-A2 OS=Homo sapiens OX=9606 GN=CCNA2 PE=1 SV=2,-0.47705818264773203,2.4413718384383876e-06,7.166716930717436e-05
Q2TAY7,SMU1,WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,-0.11750163247355871,2.452077217325958e-06,7.166716930717436e-05
Q9H8H0,NOL11,Nucleolar protein 11 OS=Homo sapiens OX=9606 GN=NOL11 PE=1 SV=1,-0.1670882538798133,2.4553339374033166e-06,7.166716930717436e-05
Q14191,WRN,Werner syndrome ATP-dependent helicase OS=Homo sapiens OX=9606 GN=WRN PE=1 SV=2,-0.2422282334493312,2.4553753194268086e-06,7.166716930717436e-05
P11216,PYGB,"Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5",0.21031464097154995,2.458603817585893e-06,7.166716930717436e-05
Q6GMV3,PTRHD1,Putative peptidyl-tRNA hydrolase PTRHD1 OS=Homo sapiens OX=9606 GN=PTRHD1 PE=1 SV=1,0.17359485964436772,2.4604427454217455e-06,7.166716930717436e-05
P30520,ADSS2,Adenylosuccinate synthetase isozyme 2 OS=Homo sapiens OX=9606 GN=ADSS2 PE=1 SV=3,-0.3490096235782061,2.4713360774681736e-06,7.166874624657703e-05
Q9NWV4,CZIB,CXXC motif containing zinc binding protein OS=Homo sapiens OX=9606 GN=CZIB PE=1 SV=1,0.18251710038972058,2.49141647366813e-06,7.193557084669727e-05
P11388,TOP2A,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,-0.6904335524327889,2.51657555194134e-06,7.198137713247948e-05
P28068,HLA-DMB,"HLA class II histocompatibility antigen, DM beta chain OS=Homo sapiens OX=9606 GN=HLA-DMB PE=1 SV=1",0.5628661319084811,2.5208719813584836e-06,7.198137713247948e-05
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",0.32921437795276365,2.5256623555255955e-06,7.198137713247948e-05
O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2,-0.2912312950003355,2.5523972029416437e-06,7.234312509569092e-05
P13667,PDIA4,Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2,0.13901610355388883,2.5602376395026733e-06,7.234312509569092e-05
Q9Y2K7,KDM2A,Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3,-0.35319645625737706,2.5770321430942954e-06,7.250781502187013e-05
P17676,CEBPB,CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,-0.6147373533452786,2.5971255933013134e-06,7.276353569028935e-05
Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A OS=Homo sapiens OX=9606 GN=VAPA PE=1 SV=3,0.06855858698725203,2.6097250587975927e-06,7.280802569101133e-05
B0I1T2,MYO1G,Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2,0.20593434431754387,2.640745519367207e-06,7.336390493300828e-05
Q9UMY1,NOL7,Nucleolar protein 7 OS=Homo sapiens OX=9606 GN=NOL7 PE=1 SV=2,-0.1907280973528559,2.671582603087947e-06,7.364760789943536e-05
Q9UKB3,DNAJC12,DnaJ homolog subfamily C member 12 OS=Homo sapiens OX=9606 GN=DNAJC12 PE=1 SV=1,-0.4796448887311916,2.684376283871874e-06,7.364760789943536e-05
Q9UGN5,PARP2,Poly [ADP-ribose] polymerase 2 OS=Homo sapiens OX=9606 GN=PARP2 PE=1 SV=2,-0.21791222196268767,2.687397639327475e-06,7.364760789943536e-05
Q5T6F2,UBAP2,Ubiquitin-associated protein 2 OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1,-0.35339321986878414,2.695511359900689e-06,7.364760789943536e-05
Q8N1F7,NUP93,Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2,-0.20632236118424352,2.757182245288301e-06,7.489130345592705e-05
Q96EC8,YIPF6,Protein YIPF6 OS=Homo sapiens OX=9606 GN=YIPF6 PE=1 SV=2,0.23935486242725568,2.7636839145865396e-06,7.489130345592705e-05
Q96QE3,ATAD5,ATPase family AAA domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ATAD5 PE=1 SV=4,-0.27840933299373266,2.7869117559718207e-06,7.521249196116604e-05
Q99708,RBBP8,DNA endonuclease RBBP8 OS=Homo sapiens OX=9606 GN=RBBP8 PE=1 SV=2,-0.4596999693200432,2.8056632175166363e-06,7.541075282203252e-05
P33992,MCM5,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,-0.08786092212762853,2.8486449705781555e-06,7.595079623916122e-05
Q9Y394,DHRS7,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,0.17433947118393478,2.848729199532968e-06,7.595079623916122e-05
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A OS=Homo sapiens OX=9606 GN=RRP1 PE=1 SV=1,-0.25214007797277826,2.9466372122530403e-06,7.82456435639241e-05
Q8WZA0,LZIC,Protein LZIC OS=Homo sapiens OX=9606 GN=LZIC PE=1 SV=1,0.11560859809426005,2.9746858889803967e-06,7.867449239175354e-05
P04424,ASL,Argininosuccinate lyase OS=Homo sapiens OX=9606 GN=ASL PE=1 SV=4,0.2004327728610069,3.020841807632624e-06,7.91345306366393e-05
Q4VC05,BCL7A,B-cell CLL/lymphoma 7 protein family member A OS=Homo sapiens OX=9606 GN=BCL7A PE=1 SV=1,0.22849614537965812,3.027146268316034e-06,7.91345306366393e-05
O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens OX=9606 GN=COQ9 PE=1 SV=1",0.22478753257730705,3.027984913954892e-06,7.91345306366393e-05
P17844,DDX5,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,-0.23761663364738705,3.0518703300877074e-06,7.944475048244064e-05
Q13111,CHAF1A,Chromatin assembly factor 1 subunit A OS=Homo sapiens OX=9606 GN=CHAF1A PE=1 SV=3,-0.35084355860402927,3.0743468457135905e-06,7.97160052700324e-05
Q14444,CAPRIN1,Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2,-0.5262570646063152,3.1091534719752196e-06,8.029518526209121e-05
O95429,BAG4,BAG family molecular chaperone regulator 4 OS=Homo sapiens OX=9606 GN=BAG4 PE=1 SV=1,-0.2467514199635925,3.1250756387267914e-06,8.029518526209121e-05
Q9NY93,DDX56,Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens OX=9606 GN=DDX56 PE=1 SV=1,-0.23552493322695067,3.1331152144010185e-06,8.029518526209121e-05
Q9NQR4,NIT2,Omega-amidase NIT2 OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=1,0.17353785041402991,3.1525004409082347e-06,8.048004986596622e-05
Q13190,STX5,Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2,0.19650271062675012,3.2638178897005966e-06,8.285441028028047e-05
Q8WTT2,NOC3L,Nucleolar complex protein 3 homolog OS=Homo sapiens OX=9606 GN=NOC3L PE=1 SV=1,-0.1576016295153082,3.2705688268531763e-06,8.285441028028047e-05
Q8WW33,GTSF1,Gametocyte-specific factor 1 OS=Homo sapiens OX=9606 GN=GTSF1 PE=1 SV=2,-0.4219774714188833,3.2934858454475287e-06,8.286046836258137e-05
Q16850,CYP51A1,Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=3,-0.5869540902668753,3.2958716242224593e-06,8.286046836258137e-05
P46087,NOP2,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NOP2 PE=1 SV=2,-0.25769691508356285,3.3118224595491213e-06,8.2946098873253e-05
Q9NX18,SDHAF2,"Succinate dehydrogenase assembly factor 2, mitochondrial OS=Homo sapiens OX=9606 GN=SDHAF2 PE=1 SV=1",-0.5450690761518244,3.3278459760589015e-06,8.303289658000548e-05
Q9H7Z6,KAT8,Histone acetyltransferase KAT8 OS=Homo sapiens OX=9606 GN=KAT8 PE=1 SV=2,-0.172330578805585,3.34721213297176e-06,8.320213016244089e-05
O75915,ARL6IP5,PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1,0.2796964558354785,3.37978971887558e-06,8.369726449889639e-05
Q9NUG6,PDRG1,p53 and DNA damage-regulated protein 1 OS=Homo sapiens OX=9606 GN=PDRG1 PE=1 SV=2,-0.5108520391384752,3.4154422268938595e-06,8.426456717993359e-05
O14681,EI24,Etoposide-induced protein 2.4 homolog OS=Homo sapiens OX=9606 GN=EI24 PE=1 SV=4,0.21646203304363243,3.439863119818321e-06,8.45515797332295e-05
O14530,TXNDC9,Thioredoxin domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TXNDC9 PE=1 SV=2,-0.4120856590584603,3.5207067528759684e-06,8.565779094721203e-05
P52701,MSH6,DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2,-0.3746827506443995,3.531721214477886e-06,8.565779094721203e-05
Q9NUP9,LIN7C,Protein lin-7 homolog C OS=Homo sapiens OX=9606 GN=LIN7C PE=1 SV=1,-0.15982819080132918,3.5333230485208764e-06,8.565779094721203e-05
Q96J02,ITCH,E3 ubiquitin-protein ligase Itchy homolog OS=Homo sapiens OX=9606 GN=ITCH PE=1 SV=2,-0.13655269085082677,3.5366873757696438e-06,8.565779094721203e-05
P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH4A1 PE=1 SV=3",0.2449820527156339,3.606739667582064e-06,8.703563022646936e-05
P62841,RPS15,40S ribosomal protein S15 OS=Homo sapiens OX=9606 GN=RPS15 PE=1 SV=2,-0.1328774528775556,3.6367174914040714e-06,8.734734319204512e-05
P63313,TMSB10,Thymosin beta-10 OS=Homo sapiens OX=9606 GN=TMSB10 PE=1 SV=2,0.2485206458225644,3.662682908789753e-06,8.734734319204512e-05
P25942,CD40,Tumor necrosis factor receptor superfamily member 5 OS=Homo sapiens OX=9606 GN=CD40 PE=1 SV=1,0.41596032368601854,3.6794174602775592e-06,8.734734319204512e-05
Q96B01,RAD51AP1,RAD51-associated protein 1 OS=Homo sapiens OX=9606 GN=RAD51AP1 PE=1 SV=1,-0.4937069538951615,3.6824473675611924e-06,8.734734319204512e-05
Q14318,FKBP8,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=2,0.15610612700394988,3.6891164758740297e-06,8.734734319204512e-05
Q15526,SURF1,Surfeit locus protein 1 OS=Homo sapiens OX=9606 GN=SURF1 PE=1 SV=1,0.2572511065982509,3.698919554412074e-06,8.734734319204512e-05
O75083,WDR1,WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=WDR1 PE=1 SV=4,0.18455421770559033,3.744163386160928e-06,8.805205069020376e-05
Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapiens OX=9606 GN=PDK1 PE=1 SV=1",0.16619936160302962,3.7603026390871527e-06,8.805205069020376e-05
Q9Y672,ALG6,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase OS=Homo sapiens OX=9606 GN=ALG6 PE=1 SV=2",0.18092981096726982,3.768712998385914e-06,8.805205069020376e-05
O00541,PES1,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,-0.3984695207363971,3.816252795160683e-06,8.884881507606492e-05
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,0.14758511906474214,3.8531854330867385e-06,8.939390204761232e-05
Q9UHI6,DDX20,Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2,-0.37037900795607137,3.908488982475945e-06,9.035989214031801e-05
P15880,RPS2,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,-0.11745196506963129,3.992889566287417e-06,9.175166974950555e-05
