gene_id,log2FC,pval,padj,symbol
ENSMUSG00000009406,-0.29660347489916233,0.002917818675532438,0.20938888604890724,Elk1
ENSMUSG00000003518,-0.336846702354288,0.0029690365635726703,0.21125435141592727,Dusp3
ENSMUSG00000038406,-0.19872194204914412,0.002986374912922207,0.21125435141592727,Scaf1
ENSMUSG00000030530,-0.21737474761358666,0.0030258340733824505,0.21275623677421665,Furin
ENSMUSG00000062611,-0.6282928492727637,0.0030558972062986064,0.21329029418687873,Rps3a2
ENSMUSG00000025130,-0.19785661549152167,0.003088250489854567,0.21329029418687873,P4hb
ENSMUSG00000003033,-0.1560747299479105,0.003083756943131993,0.21329029418687873,Ap1m1
ENSMUSG00000019977,-0.16513551168335994,0.003147043926621706,0.21480875269899738,Hbs1l
ENSMUSG00000045268,-0.18762811017019257,0.0031308231714961116,0.21480875269899738,Zfp691
ENSMUSG00000031652,-0.23510379075605586,0.0031696170391935057,0.21509168652015465,N4bp1
ENSMUSG00000017978,-0.20478051343762943,0.0032851478207659066,0.2216430367860096,Cadps2
ENSMUSG00000064345,0.23558471069478948,0.0037400912452915593,0.22401235220747992,mt-Nd2
ENSMUSG00000062234,-0.16702608440592737,0.003526942635384375,0.22401235220747992,Gak
ENSMUSG00000040097,-0.23733791511522861,0.0035609284195200876,0.22401235220747992,Flywch1
ENSMUSG00000030894,-0.1745868458376011,0.0036541766760905567,0.22401235220747992,Tpp1
ENSMUSG00000034854,-0.20974004539423713,0.003677466325362895,0.22401235220747992,Mfsd12
ENSMUSG00000026755,0.1813703128011968,0.003655914562691781,0.22401235220747992,Arpc5l
ENSMUSG00000024163,-0.34563287144017696,0.003575588698901323,0.22401235220747992,Mapk8ip3
ENSMUSG00000029547,-0.1621041359188537,0.003587872515304848,0.22401235220747992,Ints1
ENSMUSG00000057948,-0.3318528087292629,0.0036181652666895086,0.22401235220747992,Unc13d
ENSMUSG00000064357,0.5599301689792505,0.003686212610394845,0.22401235220747992,mt-Atp6
ENSMUSG00000064358,0.22495500477221425,0.0035102193371155076,0.22401235220747992,mt-Co3
ENSMUSG00000026848,-0.2423323987450548,0.003420079277212506,0.22401235220747992,Tor1b
ENSMUSG00000084830,0.3491994049138294,0.0034085702515079617,0.22401235220747992,Gm14539
ENSMUSG00000037993,-0.18071917327327147,0.0036866210446575413,0.22401235220747992,Dhx38
ENSMUSG00000053768,0.10158484735127327,0.003446223108639733,0.22401235220747992,Chchd3
ENSMUSG00000014551,0.1967709665858861,0.003742495603192133,0.22401235220747992,Mrps25
ENSMUSG00000032777,-0.22505885725277863,0.0036575181005996803,0.22401235220747992,Gtf3c1
ENSMUSG00000002984,-0.1565838589247706,0.0037317103213072465,0.22401235220747992,Tomm40
